Code,Name,Description,Category,url,status,EnumName
FRZU,undersea fracture zone,"an extensive linear zone of irregular topography of the sea floor, characterized by steep-sided or asymmetrical ridges, troughs, or escarpments",U,,active,UNDERSEA_FRACTURE_ZONE
FURU,undersea furrow,"a closed, linear, narrow, shallow depression",U,,active,UNDERSEA_FURROW
GAPU,undersea gap,a narrow break in a ridge or rise,U,,active,UNDERSEA_GAP
GLYU,undersea gully,a small valley-like feature,U,,active,UNDERSEA_GULLY
HLLU,undersea hill,an elevation rising generally less than 500 meters,U,,active,UNDERSEA_HILL
HLSU,undersea hills,elevations rising generally less than 500 meters,U,,active,UNDERSEA_HILLS
HOLU,undersea hole,a small depression of the sea floor,U,,active,UNDERSEA_HOLE
KNLU,undersea knoll,"an elevation rising generally more than 500 meters and less than 1,000 meters and of limited extent across the summit",U,,active,UNDERSEA_KNOLL
KNSU,undersea knolls,"elevations rising generally more than 500 meters and less than 1,000 meters and of limited extent across the summits",U,,active,UNDERSEA_KNOLLS
LDGU,undersea ledge,"a rocky projection or outcrop, commonly linear and near shore",U,,active,UNDERSEA_LEDGE
LEVU,undersea levee,"an embankment bordering a canyon, valley, or seachannel",U,,active,UNDERSEA_LEVEE
MDVU,undersea median valley,the axial depression of the mid-oceanic ridge system,U,,active,UNDERSEA_MEDIAN_VALLEY
MESU,undersea mesa,"an isolated, extensive, flat-topped elevation on the shelf, with relatively steep sides",U,,active,UNDERSEA_MESA
MOTU,undersea moat,"an annular depression that may not be continuous, located at the base of many seamounts, islands, and other isolated elevations",U,,active,UNDERSEA_MOAT
MNDU,undersea mound,"a low, isolated, rounded hill",U,,active,UNDERSEA_MOUND
MTU,undersea mountain,a well-delineated subdivision of a large and complex positive feature,U,,active,UNDERSEA_MOUNTAIN
MTSU,undersea mountains,well-delineated subdivisions of a large and complex positive feature,U,,active,UNDERSEA_MOUNTAINS
PKU,undersea peak,"a prominent elevation, part of a larger feature, either pointed or of very limited extent across the summit",U,,active,UNDERSEA_PEAK
PKSU,undersea peaks,"prominent elevations, part of a larger feature, either pointed or of very limited extent across the summit",U,,active,UNDERSEA_PEAKS
PNLU,undersea pinnacle,"a high tower or spire-shaped pillar of rock or coral, alone or cresting a summit",U,,active,UNDERSEA_PINNACLE
PLNU,undersea plain,"a flat, gently sloping or nearly level region",U,,active,UNDERSEA_PLAIN
PLTU,undersea plateau,"a comparatively flat-topped feature of considerable extent, dropping off abruptly on one or more sides",U,,active,UNDERSEA_PLATEAU
PLFU,undersea platform,a flat or gently sloping underwater surface extending seaward from the shore,U,,active,UNDERSEA_PLATFORM
PRVU,undersea province,a region identifiable by a group of similar physiographic features whose characteristics are markedly in contrast with surrounding areas,U,,active,UNDERSEA_PROVINCE
RMPU,undersea ramp,a gentle slope connecting areas of different elevations,U,,active,UNDERSEA_RAMP
RNGU,undersea range,a series of associated ridges or seamounts,U,,active,UNDERSEA_RANGE
RAVU,undersea ravine,a small canyon,U,,active,UNDERSEA_RAVINE
RFU,undersea reef,a surface-navigation hazard composed of consolidated material,U,,active,UNDERSEA_REEF
RFSU,undersea reefs,surface-navigation hazards composed of consolidated material,U,,active,UNDERSEA_REEFS
RDGU,undersea ridge,a long narrow elevation with steep sides,U,,active,UNDERSEA_RIDGE
RDSU,undersea ridges,long narrow elevations with steep sides,U,,active,UNDERSEA_RIDGES
RISU,undersea rise,"a broad elevation that rises gently, and generally smoothly, from the sea floor",U,,active,UNDERSEA_RISE
SDLU,undersea saddle,"a low part, resembling in shape a saddle, in a ridge or between contiguous seamounts",U,,active,UNDERSEA_SADDLE
SHFU,undersea shelf,a zone adjacent to a continent (or around an island) that extends from the low water line to a depth at which there is usually a marked increase of slope towards oceanic depths,U,,active,UNDERSEA_SHELF
EDGU,undersea shelf edge,a line along which there is a marked increase of slope at the outer margin of a continental shelf or island shelf,U,,active,UNDERSEA_SHELF_EDGE
SHVU,undersea shelf valley,"a valley on the shelf, generally the shoreward extension of a canyon",U,,active,UNDERSEA_SHELF_VALLEY
SHLU,undersea shoal,a surface-navigation hazard composed of unconsolidated material,U,,active,UNDERSEA_SHOAL
SHSU,undersea shoals,hazards to surface navigation composed of unconsolidated material,U,,active,UNDERSEA_SHOALS
SILU,undersea sill,"the low part of an underwater gap or saddle separating basins, including a similar feature at the mouth of a fjord",U,,active,UNDERSEA_SILL
SLPU,undersea slope,the slope seaward from the shelf edge to the beginning of a continental rise or the point where there is a general reduction in slope,U,,active,UNDERSEA_SLOPE
SPRU,undersea spur,"a subordinate elevation, ridge, or rise projecting outward from a larger feature",U,,active,UNDERSEA_SPUR
TERU,undersea terrace,"a relatively flat horizontal or gently inclined surface, sometimes long and narrow, which is bounded by a steeper ascending slope on one side and by a steep descending slope on the opposite side",U,,active,UNDERSEA_TERRACE
TNGU,undersea tongue,an elongate (tongue-like) extension of a flat sea floor into an adjacent higher feature,U,,active,UNDERSEA_TONGUE
TRNU,undersea trench,"a long, narrow, characteristically very deep and asymmetrical depression of the sea floor, with relatively steep sides",U,,active,UNDERSEA_TRENCH
TRGU,undersea trough,"a long depression of the sea floor characteristically flat bottomed and steep sided, and normally shallower than a trench",U,,active,UNDERSEA_TROUGH
VALU,undersea valley,"a relatively shallow, wide depression, the bottom of which usually has a continuous gradient",U,,active,UNDERSEA_VALLEY
VLSU,undersea valleys,"a relatively shallow, wide depression, the bottom of which usually has a continuous gradient",U,,active,UNDERSEA_VALLEYS
USGE,United States Government Establishment,a facility operated by the United States Government in Panama,S,,active,UNITED_STATES_GOVERNMENT_ESTABLISHMENT
UPLD,upland,an extensive interior region of high land with low to moderate surface relief,T,,active,UPLAND
VAL,valley,an elongated depression usually traversed by a stream,T,,active,VALLEY
VALS,valleys,elongated depressions usually traversed by a stream,T,,active,VALLEYS
VETF,veterinary facility,a building or camp at which veterinary services are available,S,,active,VETERINARY_FACILITY
VIN,vineyard,a planting of grapevines,V,,active,VINEYARD
VINS,vineyards,plantings of grapevines,V,,active,VINEYARDS
VLC,volcano,a conical elevation composed of volcanic materials with a crater at the top,T,,active,VOLCANO
WAD,wadi,"a valley or ravine, bounded by relatively steep banks, which in the rainy season becomes a watercourse; found primarily in North Africa and the Middle East",H,,active,WADI
WADB,wadi bend,a conspicuously curved or bent segment of a wadi,H,,active,WADI_BEND
WADJ,wadi junction,a place where two or more wadies join,H,,active,WADI_JUNCTION
WADM,wadi mouth,"the lower terminus of a wadi where it widens into an adjoining floodplain, depression, or waterbody",H,,active,WADI_MOUTH
WADS,wadies,"valleys or ravines, bounded by relatively steep banks, which in the rainy season become watercourses; found primarily in North Africa and the Middle East",H,,active,WADIES
WALL,wall,"a thick masonry structure, usually enclosing a field or building, or forming the side of a structure",S,,active,WALL
MLWTR,water mill,a mill powered by running water,S,,active,WATER_MILL
PMPW,water pumping station,a facility for pumping water from a major well or through a pipeline,S,,active,WATER_PUMPING_STATION
RSVT,water tank,"a contained pool or tank of water at, below, or above ground level",H,,active,WATER_TANK
WTRC,watercourse,"a natural, well-defined channel produced by flowing water, or an artificial channel designed to carry flowing water",H,,active,WATERCOURSE
FLLS,waterfall(s),a perpendicular or very steep descent of the water of a stream,H,,active,WATERFALL_S
WTRH,waterhole(s),"a natural hole, hollow, or small depression that contains water, used by man and animals, especially in arid areas",H,,active,WATERHOLE_S
WTRW,waterworks,a facility for supplying potable water through a water source and a system of pumps and filtration beds,S,,active,WATERWORKS
WEIR,weir(s),"a small dam in a stream, designed to raise the water level or to divert stream flow through a desired channel",S,,active,WEIR_S
WLL,well,"a cylindrical hole, pit, or tunnel drilled or dug down to a depth from which water, oil, or gas can be pumped or brought to the surface",H,,active,WELL
WLLS,wells,"cylindrical holes, pits, or tunnels drilled or dug down to a depth from which water, oil, or gas can be pumped or brought to the surface",H,,active,WELLS
WTLD,wetland,"an area subject to inundation, usually characterized by bog, marsh, or swamp vegetation",H,,active,WETLAND
STNW,whaling station,a facility for butchering whales and processing train oil,S,,active,WHALING_STATION
WHRF,wharf(-ves),a structure of open rather than solid construction along a shore or a bank which provides berthing for ships and cargo-handling facilities,S,,active,WHARF_VES
WHRL,whirlpool,"a turbulent, rotating movement of water in a stream",H,,active,WHIRLPOOL
RESW,wildlife reserve,a tract of public land reserved for the preservation of wildlife,L,,active,WILDLIFE_RESERVE
MLWND,windmill,a mill or water pump powered by wind,S,,active,WINDMILL
WRCK,wreck,the site of the remains of a wrecked vessel,S,,active,WRECK
ZN,zone,zone,A,,active,ZONE
ZOO,zoo,a zoological garden or park where wild animals are kept for exhibition,S,,active,ZOO
