SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS,,,,,,,,,,
,,,,,,,,,,
REDE:,Piezometria,,,,,,,,,
,,,,,,,,,,
CÓDIGO,NOME,DISTRITO,CONCELHO,FREGUESIA,BACIA,ALTITUDE (M),COORD_X (M),COORD_Y (M),SISTEMA AQUÍFERO,ESTADO
327/32,JK4,SANTARÉM,RIO MAIOR,ALCOBERTAS,TEJO,120,133920,270170,O0 - ORLA OCIDENTAL INDIFERENCIADO,
331/89,JK4,SANTARÉM,ABRANTES,SÃO MIGUEL DO RIO TORTO,TEJO,32,194920,273470,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
331/15,JK5,SANTARÉM,ABRANTES,ABRANTES (SÃO VICENTE),TEJO,75,193296,278102,T7 - ALUVIÕES DO TEJO,EM RESERVA
391/245,JK5,SANTARÉM,BENAVENTE,BENAVENTE,TEJO,10,141050,223580,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
391/312,JK5,SANTARÉM,SALVATERRA DE MAGOS,FOROS DE SALVATERRA,TEJO,41,151239,224433,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
308/51,JK7,LEIRIA,PORTO DE MÓS,CALVARIA DE CIMA,LIS/RIBEIRAS COSTEIRAS,149,137483,297179,O19 - ALPEDRIZ,
521/34,JK7 - Alvercas,BEJA,BEJA,BEJA (SANTIAGO MAIOR),SADO,228.5,221720,116190,A9 - GABROS DE BEJA,EM SERVIÇO
453/18,JK8,SETÚBAL,SESIMBRA,QUINTA DO CONDE,TEJO,70,116016.7,176494.5,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
328/31,JK9,SANTARÉM,SANTARÉM,ALCANEDE,TEJO,72,136500,270900,O0 - ORLA OCIDENTAL INDIFERENCIADO,
516/192,JKC6A,SETÚBAL,SINES,SINES,RIBEIRAS DO ALENTEJO,8,137241,112807,O32 - SINES,EM SERVIÇO
516/18,JKP19,SETÚBAL,SINES,SINES,RIBEIRAS DO ALENTEJO,19,139050,112180,O32 - SINES,
505/38,JKP22,SETÚBAL,SANTIAGO DO CACÉM,SANTO ANDRÉ,RIBEIRAS DO ALENTEJO,11,143817,126222,O32 - SINES,
516/191,JKP3,SETÚBAL,SINES,SINES,RIBEIRAS DO ALENTEJO,58,143791,113646,O32 - SINES,EM SERVIÇO
432/800,JKp1,SETÚBAL,ALCOCHETE,ALCOCHETE,TEJO,11,135603.2,194088.8,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
444/317,JKp2,SETÚBAL,PALMELA,POCEIRÃO,TEJO,44,146361.6,183790.2,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
444/318,JKp3,SETÚBAL,PALMELA,POCEIRÃO,TEJO,44,146440,183830,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
442/537,JKp4,SETÚBAL,SEIXAL,AMORA,TEJO,21,111722,184739.9,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
443/924,JKp7,SETÚBAL,PALMELA,QUINTA DO ANJO,TEJO,59,127393.1,181651.8,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
516/15,JKp7,SETÚBAL,SANTIAGO DO CACÉM,SANTO ANDRÉ,RIBEIRAS DO ALENTEJO,32.89,140950,118950,O32 - SINES,
396/235,LAMEIRÃO 2,PORTALEGRE,SOUSEL,CANO,TEJO,238,231466,222468,A0 - MACIÇO ANTIGO INDIFERENCIADO,
444/85,LAU,SETÚBAL,PALMELA,PALMELA,TEJO,37,140865,182086.3,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
262/2,LF 1,LEIRIA,POMBAL,REDINHA,MONDEGO,48,161690,337940,O29 - LOURIÇAL,
602/36,LF 10,FARO,LAGOS,LUZ,RIBEIRAS DO ALGARVE,9.16,142500,14270,M2 - ALMÁDENA - ODEÁXERE,EM RESERVA
594/4,LF 11,FARO,PORTIMÃO,ALVOR,RIBEIRAS DO ALGARVE,3,156470,20860,M3 - MEXILHOEIRA GRANDE - PORTIMÃO,ABANDONADO
533/51,LF 4,BEJA,SERPA,ALDEIA NOVA DE SÃO BENTO,GUADIANA,249,262667,107517,A0 - MACIÇO ANTIGO INDIFERENCIADO,
602/32,LF 9,FARO,LAGOS,LUZ,RIBEIRAS DO ALGARVE,8.56,142640,14260,M2 - ALMÁDENA - ODEÁXERE,EM SERVIÇO
317/1,LF4,LEIRIA,ALCOBAÇA,ALJUBARROTA (PRAZERES),RIBEIRAS DO OESTE,50,130250,285060,O20 - MACIÇO CALCÁRIO ESTREMENHO,
308/2,LF8,LEIRIA,PORTO DE MÓS,PORTO DE MÓS (SÃO PEDRO),LIS/RIBEIRAS COSTEIRAS,13,141180,292130,O0 - ORLA OCIDENTAL INDIFERENCIADO,
608/598,LT1,FARO,TAVIRA,SANTA LUZIA,RIBEIRAS DO ALGARVE,13,241582.2,15526.8,M15 - LUZ - TAVIRA,EM SERVIÇO
608/599,LT2,FARO,TAVIRA,SANTA LUZIA,RIBEIRAS DO ALGARVE,13.5,241581.5,15530.6,M15 - LUZ - TAVIRA,EM SERVIÇO
608/600,M1,FARO,TAVIRA,-,RIA FORMOSA,109.25,237454.4,19933.7,M14 - MALHÃO,EM SERVIÇO
375/14,MA1,LISBOA,TORRES VEDRAS,TORRES VEDRAS (SÃO PEDRO E SÃO TIAGO),RIBEIRAS DO OESTE,110,105470,238380,O0 - ORLA OCIDENTAL INDIFERENCIADO,
348/44,MATINHO,PORTALEGRE,MARVÃO,SÃO SALVADOR DA ARAMENHA,TEJO,582,265858,266377,A2 - ESCUSA,
321/94,MF1,SANTARÉM,ABRANTES,ALDEIA DO MATO,TEJO,233,186531,285401,A0 - MACIÇO ANTIGO INDIFERENCIADO,EM RESERVA
594/583,MGP1,FARO,PORTIMÃO,MEXILHOEIRA GRANDE,RIBEIRAS DO ALGARVE,47.24,160169.9,24606,M3 - MEXILHOEIRA GRANDE - PORTIMÃO,EM SERVIÇO
384/2,MONFORTE,PORTALEGRE,MONFORTE,VAIAMONTE,TEJO,310,256180,234000,A3 - MONFORTE - ALTER DO CHÃO,
427/24,Monte Soares,ÉVORA,VILA VIÇOSA,CILADAS,GUADIANA,391.57,275390,207541,A5 - ELVAS - VILA BOIM,
516/185,N6,SETÚBAL,SINES,SINES,RIBEIRAS DO ALENTEJO,28,140357,115857,O32 - SINES,EM SERVIÇO
516/186,N7,SETÚBAL,SINES,SINES,RIBEIRAS DO ALENTEJO,34,138831,113866,O32 - SINES,EM SERVIÇO
516/187,N8,SETÚBAL,SINES,SINES,RIBEIRAS DO ALENTEJO,27,138550,112775,O32 - SINES,EM SERVIÇO
348/43,OLHOS D'ÁGUA,PORTALEGRE,MARVÃO,SÃO SALVADOR DA ARAMENHA,TEJO,540,264772,267030,A2 - ESCUSA,
594/582,OMB1,FARO,LAGOS,ODIÁXERE,RIBEIRAS DO ALGARVE,14,153203,20854.6,M0 - ORLA MERIDIONAL INDIFERENCIADO,EM SERVIÇO
602/564,OMB2,FARO,LAGOS,LUZ,RIBEIRAS DO ALGARVE,29.76,145035.2,15971,M2 - ALMÁDENA - ODEÁXERE,EM SERVIÇO
606/1658,OMS1,FARO,FARO,SANTA BÁRBARA DE NEXE,RIBEIRAS DO ALGARVE,194.16,216551.1,16136.8,M0 - ORLA MERIDIONAL INDIFERENCIADO,EM SERVIÇO
608/601,OMS2,FARO,TAVIRA,-,RIBEIRAS DO ALGARVE,39.06,243085,19683.2,M0 - ORLA MERIDIONAL INDIFERENCIADO,EM SERVIÇO
316/6,P 1,LEIRIA,NAZARÉ,FAMALICÃO,RIBEIRAS DO OESTE,7,119780,287620,O33 - CALDAS DA RAINHA - NAZARÉ,
376/52,P1,LISBOA,ALENQUER,ALENQUER (TRIANA),TEJO,41,124450,232750,O26 - OTA - ALENQUER,
390/208,P1,LISBOA,ALENQUER,-,TEJO,4.1,129293.6,226762.3,T7 - ALUVIÕES DO TEJO,EM RESERVA
444/3,P1,SETÚBAL,PALMELA,PALMELA,SADO,38,140860,182080,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
516/188,P1,SETÚBAL,SINES,SINES,RIBEIRAS DO ALENTEJO,29,138859,115076,O32 - SINES,EM SERVIÇO
377/54,P18S,SANTARÉM,CARTAXO,VALADA,TEJO,4.9,146991,236849,T7 - ALUVIÕES DO TEJO,EM RESERVA
390/114,P2,LISBOA,ALENQUER,CARREGADO,TEJO,2,129400,226750,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,
516/189,P2,SETÚBAL,SINES,SINES,RIBEIRAS DO ALENTEJO,54,143030,113240,O32 - SINES,EM SERVIÇO
377/56,P20,SANTARÉM,CARTAXO,VALADA,TEJO,4.65,146687.19,237074.53,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,
377/59,P3,SANTARÉM,CARTAXO,VALADA,TEJO,3.9,145228.17,236421.54,T7 - ALUVIÕES DO TEJO,EM RESERVA
377/84,P4,SANTARÉM,CARTAXO,VALADA,TEJO,5.61,147302.4,237288,T7 - ALUVIÕES DO TEJO,EM RESERVA
376/24,P500-1,LISBOA,AZAMBUJA,AZAMBUJA,TEJO,2.1,134002.7,230287.3,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM RESERVA
228/72,PELICANOS,COIMBRA,MONTEMOR-O-VELHO,ARAZEDE,MONDEGO,67,150368,369285,O30 - VISO - QUERIDAS,
228/73,PELICANOS,COIMBRA,MONTEMOR-O-VELHO,ARAZEDE,MONDEGO,62,149785,368714,O30 - VISO - QUERIDAS,
45685,PERF1,VIANA DO CASTELO,PONTE DE LIMA,VITORINO DAS DONAS,LIMA/NEIVA,3,157509,530330,A0 - MACIÇO ANTIGO INDIFERENCIADO,
511/71,PFT 1,BEJA,SERPA,BRINCHES,GUADIANA,100,247102,121528,A0 - MACIÇO ANTIGO INDIFERENCIADO,
542/19,PFT 1,BEJA,SERPA,SERPA (SALVADOR),GUADIANA,210,257073,93570,A0 - MACIÇO ANTIGO INDIFERENCIADO,
261/150,PIEZO-SO3,LEIRIA,POMBAL,CARRIÇO,LIS/RIBEIRAS COSTEIRAS,61,139216,333854,O10 - LEIROSA - MONTE REAL,
261/148,PIEZO-SO4,LEIRIA,POMBAL,CARRIÇO,LIS/RIBEIRAS COSTEIRAS,50,138241,336230,O10 - LEIROSA - MONTE REAL,
521/455,PIEZÓMETRO DO CARRASCALÃO,BEJA,BEJA,BEJA (SANTIAGO MAIOR),SADO,240,221134.11,115144.52,A9 - GABROS DE BEJA,EM SERVIÇO
608/602,PM1,FARO,OLHÃO,-,RIBEIRAS DO ALGARVE,91.63,232981.8,17261.7,M13 - PERAL - MONCARAPACHO,EM SERVIÇO
599/262,PM2,FARO,TAVIRA,SANTA CATARINA DA FONTE DO BISPO,RIBEIRAS DO ALGARVE,174.75,232439,20059.2,M13 - PERAL - MONCARAPACHO,EM SERVIÇO
607/885,PM3,FARO,OLHÃO,-,RIBEIRAS DO ALGARVE,173.52,227669,16590.1,M13 - PERAL - MONCARAPACHO,EM SERVIÇO
261/63,PO 1,LEIRIA,POMBAL,CARRIÇO,LIS/RIBEIRAS COSTEIRAS,50,138050,334870,O10 - LEIROSA - MONTE REAL,
261/65,PO 3,LEIRIA,POMBAL,CARRIÇO,LIS/RIBEIRAS COSTEIRAS,40,136900,337200,O10 - LEIROSA - MONTE REAL,
153/5,PO 5 AH 14,AVEIRO,OVAR,OVAR,VOUGA/RIBEIRAS COSTEIRAS,9.17,156100,433101,O1 - QUATERNÁRIO DE AVEIRO,
153/4,PO 5 AH 37,AVEIRO,OVAR,OVAR,VOUGA/RIBEIRAS COSTEIRAS,9.21,156100,433100,O1 - QUATERNÁRIO DE AVEIRO,
143/5,PO 6 AH 12,AVEIRO,OVAR,CORTEGAÇA,VOUGA/RIBEIRAS COSTEIRAS,6.91,156300,440800,O1 - QUATERNÁRIO DE AVEIRO,
143/6,PO 6 AH 31,AVEIRO,OVAR,CORTEGAÇA,VOUGA/RIBEIRAS COSTEIRAS,6.9,156296,440800,O1 - QUATERNÁRIO DE AVEIRO,
261/64,PO 7,LEIRIA,POMBAL,CARRIÇO,LIS/RIBEIRAS COSTEIRAS,42.07,137240,337030,O10 - LEIROSA - MONTE REAL,
488/968,POÇO BOA VISTA,BEJA,ALVITO,ALVITO,SADO,146.93,212578,140465,A0 - MACIÇO ANTIGO INDIFERENCIADO,
369/37,POÇO DA RIBEIRA,PORTALEGRE,ALTER DO CHÃO,SEDA,TEJO,132,229263,247180,A0 - MACIÇO ANTIGO INDIFERENCIADO,
509/298,POÇO HORTA DOS MANCIOS,BEJA,BEJA,TRIGACHES,SADO,147.68,213064,125635,A0 - MACIÇO ANTIGO INDIFERENCIADO,
529/54,POÇO MONTE DO VALE LEITÃO DE BAIXO,BEJA,ALJUSTREL,RIO DE MOINHOS,SADO,98.83,194385,104013,T0 - BACIA DO TEJO-SADO INDIFERENCIADO,
509/294,POÇO MONTE DOS MATOS,BEJA,CUBA,FARO DO ALENTEJO,SADO,157.16,214178,129552,A0 - MACIÇO ANTIGO INDIFERENCIADO,
499/201,POÇO NA QUINTA DO PIGARÇA,BEJA,CUBA,CUBA,SADO,179.21,220570,134561,A0 - MACIÇO ANTIGO INDIFERENCIADO,
488/972,POÇO NO MONTE DAS FONTES,BEJA,ALVITO,VILA NOVA DA BARONIA,SADO,159.26,204305,146315,A0 - MACIÇO ANTIGO INDIFERENCIADO,
488/969,POÇO NO MONTE DO AZINHAL,BEJA,ALVITO,VILA NOVA DA BARONIA,SADO,160,206322,146347,A0 - MACIÇO ANTIGO INDIFERENCIADO,
488/970,POÇO NO MONTE DO GALAZ,BEJA,ALVITO,VILA NOVA DA BARONIA,SADO,156.98,208296,141909,A0 - MACIÇO ANTIGO INDIFERENCIADO,
509/296,POÇO QUINTA DA MAFARALHA,BEJA,FERREIRA DO ALENTEJO,ALFUNDÃO,SADO,127.77,208311,127108,A0 - MACIÇO ANTIGO INDIFERENCIADO,
487/72,POÇO RIO SOBERANAS,SETÚBAL,ALCÁCER DO SAL,TORRÃO,SADO,84.26,197961,141473,A0 - MACIÇO ANTIGO INDIFERENCIADO,
488/973,POÇO VILA NOVA DA BARONIA,BEJA,ALVITO,VILA NOVA DA BARONIA,SADO,179.52,208169,146534,A0 - MACIÇO ANTIGO INDIFERENCIADO,
185/92,PS 1,AVEIRO,AVEIRO,ARADAS,VOUGA/RIBEIRAS COSTEIRAS,21,156400,404540,O2 - CRETÁCICO DE AVEIRO,
229/261,PS 6,COIMBRA,MONTEMOR-O-VELHO,ARAZEDE,VOUGA/RIBEIRAS COSTEIRAS,70,152204,369018,O30 - VISO - QUERIDAS,
595/306,PS 6,FARO,SILVES,SILVES,RIBEIRAS DO ALGARVE,82,179232,24621,M5 - QUERENÇA - SILVES,EM RESERVA
328/50,PS-Alcanede*,SANTARÉM,SANTARÉM,ALCANEDE,TEJO,90,142169,272553,O20 - MACIÇO CALCÁRIO ESTREMENHO,
341/244,PS-Pernes*,SANTARÉM,SANTARÉM,SÃO VICENTE DO PAUL,TEJO,30,154490,267760,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,
364/209,PS-Póvoa da Isenta*,SANTARÉM,SANTARÉM,PÓVOA DA ISENTA,TEJO,60,146300,249450,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,
261/144,PS1,LEIRIA,POMBAL,CARRIÇO,LIS/RIBEIRAS COSTEIRAS,54,139169,334885,O10 - LEIROSA - MONTE REAL,
261/146,PS1,LEIRIA,POMBAL,CARRIÇO,LIS/RIBEIRAS COSTEIRAS,54,139162,334900,O10 - LEIROSA - MONTE REAL,
340/83,PS1,SANTARÉM,RIO MAIOR,FRÁGUAS,TEJO,45,137880,267200,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM RESERVA
406/97,PS1,SANTARÉM,BENAVENTE,SANTO ESTÊVÃO,TEJO,59,152450,212500,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
261/147,PS2,LEIRIA,POMBAL,CARRIÇO,LIS/RIBEIRAS COSTEIRAS,55,138963,335747,O10 - LEIROSA - MONTE REAL,
308/54,PS2,LEIRIA,PORTO DE MÓS,CALVARIA DE CIMA,RIBEIRAS DO OESTE,120,136722,296179,O19 - ALPEDRIZ,
453/395,PS2,SETÚBAL,SESIMBRA,QUINTA DO CONDE,TEJO,65,120146,179382.3,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
455/408,PS2 - PINHAL DAS ESPANHOLAS,SETÚBAL,PALMELA,PALMELA,SADO,20,141742,178989,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,EM SERVIÇO
341/205,PS8,SANTARÉM,SANTARÉM,CASÉVEL,TEJO,52,157830,269350,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,
412/103,PS8 TECHOCAS 1,ÉVORA,ESTREMOZ,SÃO DOMINGOS DE ANA LOURA,TEJO,373,253428,210504,A4 - ESTREMOZ - CANO,
185/110,PZ10,AVEIRO,AVEIRO,EIXO,VOUGA/RIBEIRAS COSTEIRAS,15,163180,405710,O2 - CRETÁCICO DE AVEIRO,EM SERVIÇO
185/111,PZ11,AVEIRO,AVEIRO,EIXO,VOUGA/RIBEIRAS COSTEIRAS,15,163115,405690,O0 - ORLA OCIDENTAL INDIFERENCIADO,EM SERVIÇO
444/355,PZ2,SETÚBAL,PALMELA,PALMELA,SADO,31,137833.6,180436.4,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,EM SERVIÇO
516/80,PZ2,SETÚBAL,SANTIAGO DO CACÉM,SANTIAGO DO CACÉM,RIBEIRAS DO ALENTEJO,64.86,144092,116472,O32 - SINES,EM SERVIÇO
432/855,PZ5,SETÚBAL,ALCOCHETE,ALCOCHETE,TEJO,30,133281.5,190187.4,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,EM SERVIÇO
392/177,PZ6,SANTARÉM,CORUCHE,FAJARDA,TEJO,47,154866,222637,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,EM SERVIÇO
391/437,PZ8,SANTARÉM,BENAVENTE,BENAVENTE,TEJO,11,143834,225145,T7 - ALUVIÕES DO TEJO,EM SERVIÇO
433/297,PZ9,SETÚBAL,PALMELA,POCEIRÃO,TEJO,28,140560.5,192932,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,EM SERVIÇO
413/114,Passo,PORTALEGRE,ELVAS,VILA FERNANDO,TEJO,384.56,271583,216432,A5 - ELVAS - VILA BOIM,
399/12,Pena Clara,PORTALEGRE,ELVAS,SÃO VICENTE E VENTOSA,GUADIANA,380,275550,220125,A5 - ELVAS - VILA BOIM,
185/113,Piezo SL1,AVEIRO,AVEIRO,ESGUEIRA,VOUGA/RIBEIRAS COSTEIRAS,9,158445,408875,O2 - CRETÁCICO DE AVEIRO,
185/112,Piezo SL2,AVEIRO,AVEIRO,SANTA JOANA,VOUGA/RIBEIRAS COSTEIRAS,46,160027,406898,O2 - CRETÁCICO DE AVEIRO,
411/202,Pousada,PORTALEGRE,SOUSEL,SOUSEL,TEJO,334,238300,218400,A4 - ESTREMOZ - CANO,
471/81,Poço Alamo-Cabida,ÉVORA,ÉVORA,TORRE DE COELHEIROS,GUADIANA,225.51,224936,162879,A0 - MACIÇO ANTIGO INDIFERENCIADO,
522/253,Poço Barranco da Aldeia dos Testudos,BEJA,SERPA,SERPA (SANTA MARIA),GUADIANA,118.59,244777,114555,A9 - GABROS DE BEJA,
520/64,Poço Cortes,BEJA,BEJA,MOMBEJA,SADO,194.45,213173,118512,A9 - GABROS DE BEJA,
529/55,Poço Courelas do Pego,BEJA,ALJUSTREL,MESSEJANA,SADO,116.6,186931,102079,T0 - BACIA DO TEJO-SADO INDIFERENCIADO,
519/98,Poço Gasparões,BEJA,FERREIRA DO ALENTEJO,FERREIRA DO ALENTEJO,SADO,106.45,196661,114340,T0 - BACIA DO TEJO-SADO INDIFERENCIADO,
522/255,Poço Horta dos Coentros,BEJA,SERPA,BRINCHES,GUADIANA,164.21,245891,115948,A0 - MACIÇO ANTIGO INDIFERENCIADO,
521/446,Poço Monte da Caçada,BEJA,BEJA,SANTA CLARA DE LOUREDO,SADO,229.29,221920,112426,A9 - GABROS DE BEJA,
509/300,Poço Monte da Rebêla,BEJA,FERREIRA DO ALENTEJO,FERREIRA DO ALENTEJO,SADO,114.23,202002,124607,A9 - GABROS DE BEJA,
510/65,Poço Monte das Caldeiras,BEJA,BEJA,NOSSA SENHORA DAS NEVES,GUADIANA,184.75,226772,121166,A0 - MACIÇO ANTIGO INDIFERENCIADO,
521/447,Poço Monte das Terras Frias,BEJA,BEJA,BEJA (SANTIAGO MAIOR),SADO,230,221739,116187,A9 - GABROS DE BEJA,
509/299,Poço Monte de Santo Adrião,BEJA,BEJA,SÃO BRISSOS,SADO,173.95,214655,121629,A9 - GABROS DE BEJA,
529/58,Poço Monte do Bispo,BEJA,ALJUSTREL,ALJUSTREL,SADO,135.19,193673,99912,A0 - MACIÇO ANTIGO INDIFERENCIADO,
520/60,Poço Pero Bonito,BEJA,FERREIRA DO ALENTEJO,FERREIRA DO ALENTEJO,SADO,150,200687,113353,T0 - BACIA DO TEJO-SADO INDIFERENCIADO,
530/37,Poço da Carrapateira,BEJA,ALJUSTREL,ERVIDEL,SADO,159.87,203031,109623,A0 - MACIÇO ANTIGO INDIFERENCIADO,
523/70,Poço de Pias,BEJA,SERPA,PIAS,GUADIANA,190,256977,117992,A0 - MACIÇO ANTIGO INDIFERENCIADO,
533/74,Poço em Caliços,BEJA,SERPA,SERPA (SALVADOR),GUADIANA,193.26,248775,106961,A0 - MACIÇO ANTIGO INDIFERENCIADO,
509/301,Poço em Ferreira do Alentejo,BEJA,FERREIRA DO ALENTEJO,FERREIRA DO ALENTEJO,SADO,132.59,202247,121308,A9 - GABROS DE BEJA,
501/311,Poço na Herdade Vale do Carvão,BEJA,MOURA,MOURA (SÃO JOÃO BAPTISTA),GUADIANA,115.82,255231,130900,A0 - MACIÇO ANTIGO INDIFERENCIADO,
522/256,Poço na Herdade da Casa Branca,BEJA,BEJA,QUINTOS,GUADIANA,177.79,232803,112863,A0 - MACIÇO ANTIGO INDIFERENCIADO,
509/302,Poço na Herdade da Zambujeira,BEJA,FERREIRA DO ALENTEJO,PEROGUARDA,SADO,149.69,210313,123781,A9 - GABROS DE BEJA,
524/114,Poço na Herdade de Belmeque,BEJA,SERPA,VALE DE VARGO,GUADIANA,230,264585,118202,A10 - MOURA - FICALHO,
531/46,Poço na Horta da Genoveva,BEJA,BEJA,CABEÇA GORDA,GUADIANA,180.34,230505,107366,A0 - MACIÇO ANTIGO INDIFERENCIADO,
512/215,Poço no Aguieiro,BEJA,SERPA,PIAS,GUADIANA,214.98,263150,120905,A10 - MOURA - FICALHO,
523/68,Poço no Cangueiro,BEJA,SERPA,BRINCHES,GUADIANA,170,251434,119003,A0 - MACIÇO ANTIGO INDIFERENCIADO,
512/211,Poço no Monte Branco,BEJA,SERPA,PIAS,GUADIANA,200.24,258784,121119,A0 - MACIÇO ANTIGO INDIFERENCIADO,
510/68,Poço no Monte da Morena,BEJA,BEJA,SÃO MATIAS,GUADIANA,157.49,225336,128254,A0 - MACIÇO ANTIGO INDIFERENCIADO,
471/82,Poço no Monte das Faias,ÉVORA,ÉVORA,SÃO MANÇOS,GUADIANA,200,231308,164721,A0 - MACIÇO ANTIGO INDIFERENCIADO,
523/72,Poço no Monte das Palmeiras,BEJA,SERPA,SERPA (SANTA MARIA),GUADIANA,152.01,250911,112987,A0 - MACIÇO ANTIGO INDIFERENCIADO,
530/38,Poço no Monte de Linhares,BEJA,BEJA,ALBERNOA,SADO,161.93,214708,105380,A0 - MACIÇO ANTIGO INDIFERENCIADO,
522/254,Poço no Monte de Magalhães,BEJA,BEJA,QUINTOS,GUADIANA,152.34,235888,110502,A9 - GABROS DE BEJA,
529/56,Poço no Monte de Vila de Cortes,BEJA,ALJUSTREL,RIO DE MOINHOS,SADO,110.04,190990,104386,T0 - BACIA DO TEJO-SADO INDIFERENCIADO,
499/204,Poço no Monte do Lisboa,BEJA,VIDIGUEIRA,SELMES,GUADIANA,160.66,228312,133906,A0 - MACIÇO ANTIGO INDIFERENCIADO,
460/255,Poço no Monte do Louseiro,ÉVORA,ÉVORA,NOSSA SENHORA DE MACHEDE,GUADIANA,240,228817,173336,A0 - MACIÇO ANTIGO INDIFERENCIADO,
499/203,Poço no Monte do Moinho Branco,BEJA,VIDIGUEIRA,VIDIGUEIRA,GUADIANA,177.65,228766,136313,A0 - MACIÇO ANTIGO INDIFERENCIADO,
510/66,Poço no Monte do Outeiro,BEJA,BEJA,SÃO BRISSOS,GUADIANA,194.13,217039,123761,A0 - MACIÇO ANTIGO INDIFERENCIADO,
499/202,Poço no Monte dos Atafuis,BEJA,CUBA,CUBA,GUADIANA,170.77,220192,129997,A0 - MACIÇO ANTIGO INDIFERENCIADO,
512/210,Poço nos Caliços,BEJA,SERPA,PIAS,GUADIANA,145.66,251325,128500,A0 - MACIÇO ANTIGO INDIFERENCIADO,
606/1659,Q1,FARO,LOULÉ,QUARTEIRA,RIBEIRAS DO ALGARVE,21.86,204966.2,12163.6,M7 - QUARTEIRA,EM SERVIÇO
606/1660,Q2,FARO,LOULÉ,LOULÉ (SÃO SEBASTIÃO),RIBEIRAS DO ALGARVE,36.43,203944.7,16013.3,M7 - QUARTEIRA,EM SERVIÇO
597/660,QS1,FARO,LOULÉ,LOULÉ (SÃO SEBASTIÃO),RIBEIRAS DO ALGARVE,156.28,209318,23980,M5 - QUERENÇA - SILVES,EM SERVIÇO
596/978,QS2,FARO,LOULÉ,-,RIBEIRAS DO ALGARVE,211.28,199064.8,27272.9,M5 - QUERENÇA - SILVES,EM SERVIÇO
596/980,QS3,FARO,LOULÉ,ALTE,RIBEIRAS DO ALGARVE,112.46,196462.2,27221.9,M5 - QUERENÇA - SILVES,EM SERVIÇO
596/979,QS4,FARO,LOULÉ,BOLIQUEIME,RIBEIRAS DO ALGARVE,124.44,199732.5,24010.8,M5 - QUERENÇA - SILVES,EM SERVIÇO
595/1286,QS5,FARO,SILVES,SILVES,RIBEIRAS DO ALGARVE,63.07,174016,20780,M5 - QUERENÇA - SILVES,EM SERVIÇO
596/981,QS6,FARO,SILVES,SÃO BARTOLOMEU DE MESSINES,RIBEIRAS DO ALGARVE,120.46,188405.2,29427.9,M5 - QUERENÇA - SILVES,EM SERVIÇO
595/1285,QS7,FARO,LAGOA,-,RIBEIRAS DO ALGARVE,30,168792.8,21103.3,M5 - QUERENÇA - SILVES,EM SERVIÇO
348/45,QUEIJEIRINHA,PORTALEGRE,MARVÃO,SÃO SALVADOR DA ARAMENHA,TEJO,583,265791,266284,A2 - ESCUSA,
307/174,RA1,LEIRIA,ALCOBAÇA,-,RIBEIRAS DO OESTE,42,126236,294307,O33 - CALDAS DA RAINHA - NAZARÉ,
309/43,RA1,SANTARÉM,OURÉM,NOSSA SENHORA DAS MISERICÓRDIAS,TEJO,143,163470.4,298046,O15 - OURÉM,
465/574,RA1,SETÚBAL,GRÂNDOLA,-,SADO,0,133001,169762,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
528/16,RA1,SETÚBAL,SANTIAGO DO CACÉM,ALVALADE,SADO,51,175435,105702,T6 - BACIA DE ALVALADE,
595/1016,RA1,FARO,SILVES,ALCANTARILHA,RIBEIRAS DO ALGARVE,79.99,181878,23989,M5 - QUERENÇA - SILVES,
307/136,RA1 PZ,LEIRIA,ALCOBAÇA,COZ,RIBEIRAS DO OESTE,50,130100,292700,O19 - ALPEDRIZ,
